iter	Passed	Remaining
719	34230	22820
720	34269	22767
721	34317	22719
722	34369	22675
723	34414	22626
724	34448	22569
725	34489	22518
726	34534	22468
727	34592	22428
728	34648	22386
729	34695	22338
730	34727	22280
731	34760	22224
732	34804	22174
733	34857	22130
734	34901	22080
735	34938	22026
736	34967	21967
737	35003	21912
738	35041	21859
739	35085	21809
740	35130	21760
741	35171	21709
742	35216	21660
743	35266	21614
744	35313	21567
745	35358	21518
746	35419	21479
747	35459	21427
748	35522	21389
749	35563	21337
750	35601	21285
751	35646	21236
752	35699	21191
753	35762	21153
754	35809	21106
755	35843	21050
756	35880	20997
757	35921	20946
758	35968	20898
759	36038	20864
760	36085	20816
761	36135	20770
762	36188	20726
763	36242	20683
764	36296	20639
765	36334	20586
766	36379	20537
767	36455	20506
768	36508	20462
769	36549	20410
770	36597	20363
771	36636	20311
772	36672	20257
773	36705	20202
774	36747	20151
775	36785	20099
776	36824	20047
777	36867	19997
778	36915	19950
779	36958	19900
780	37004	19852
781	37040	19799
782	37086	19750
783	37130	19702
784	37162	19646
785	37204	19596
786	37258	19552
787	37298	19501
788	37347	19454
789	37405	19413
790	37467	19373
791	37507	19322
792	37542	19268
793	37586	19219
794	37633	19171
795	37693	19130
796	37738	19082
797	37799	19042
798	37846	18994
799	37908	18954
800	37963	18910
801	38006	18861
802	38049	18811
803	38095	18763
804	38146	18717
805	38195	18671
806	38245	18625
807	38294	18578
808	38334	18527
809	38391	18485
810	38439	18437
811	38487	18390
812	38524	18338
813	38561	18286
814	38618	18243
815	38665	18195
816	38716	18150
817	38759	18100
818	38801	18050
819	38839	17998
820	38873	17945
821	38914	17895
822	38948	17841
823	38988	17790
824	39032	17742
825	39079	17694
826	39127	17647
827	39170	17598
828	39214	17549
829	39259	17501
830	39303	17452
831	39356	17407
832	39419	17367
833	39461	17317
834	39497	17265
835	39534	17213
836	39582	17166
837	39646	17126
838	39698	17081
839	39755	17038
840	39802	16990
841	39838	16938
842	39889	16892
843	39941	16847
844	40014	16810
845	40054	16760
846	40103	16713
847	40140	16661
848	40181	16612
849	40236	16568
